PairID,Code Snippet 1,Code Snippet 2,Label
1,"// Using a mathematical formula (more efficient)
fn sum_of_numbers_formula(n: u32) -> u32 {
    (n * (n + 1)) / 2
}
// Random augmentation applied","//    Operating on a slice to search for an element
fn search_in_slice(slice: &[i32], target: i32) -> bool {
    slice.iter().any(|&x| x == target)
   }",0
2,"// Using a loop
fn sum_of_numbers_loop(number: u32) -> u32 {
    let mut total = 0;
    for counter in 1..=number {
        total += counter;
    }
    total
}","// Using a mathematical formula (more efficient)
fn sum_of_numbers_formula(number: u32) -> u32 {
    (number * (number + 1)) / 2
}",1
3,"// Variant of function
// Using the fold method for accumulation
fn compute_sum_fold(n: u32) -> u32 {
    (1..=n).fold(0, |acc, x| acc + x)
}","//   Using the fold method for accumulation
fn compute_sum_fold(n: u32) ->   u32 {
    (1..=n).fold(0, |acc, x| acc + x)
}",0
4,"// Using the reduce method for accumulation
fn compute_sum_fold(num: u32) -> u32 {
    (1..=num).reduce(0, |acc, x| acc + x)
}","// Iterating over a Vec to find an element
fn find_element_vec(collection: &Vec<i32>, search_value: i32) -> bool {
    for &elem in collection {
        if elem == search_value {
            return true;
        }
    }
    false
}",0
5,"// Iterating over a Vec to find an element
fn find_element_vec(items: &Vec<i32>, search_value: i32) -> bool {
    for &elem in items {
        if elem == search_value {
            return true;
        }
    }
    false
}","// Augmented version
// Using the fold method for accumulation
fn compute_sum_fold(n: u32) -> u32 {
    (1..=n).fold(0, |acc, x| acc + x)
}",0
6,"// Using a loop
fn sum_of_numbers_loop(n: u32) -> u32 {
let mut sum =   0;
    for i in 1..=n {
        sum += i;
 }
    sum
}","// Operating on a slice to search for an element
fn search_in_slice(slice: &[i32], target: i32) -> bool {
    slice.iter().any(|&x| x == target)
}
// Random augmentation applied",0
7,"// Iterating over a Vec to find an element
fn find_element_vec(items: &Vec<i32>, goal: i32) -> bool {
    for &elem in items {
        if elem == goal {
            return true;
        }
    }
    false
}","// Iterating over a Vec to find an element
fn find_element_vec(items: &Vec<i32>, goal: i32) -> bool {
    for &elem in items {
        if elem == goal {
            return true;
        }
    }
    false
}",0
8,"// Using a mathematical formula (more efficient)
fn sum_of_numbers_formula(n: u32) -> u32 {
    (n * (n + 1)) / 2
}
// Augmented version","// Augmented version
// Using a mathematical formula (more efficient)
fn sum_of_numbers_formula(n: u32) -> u32 {
    (n * (n + 1)) / 2
}",0
9,"// Using a mathematical formula (more efficient)
fn sum_of_numbers_formula(number: u32) -> u32 {
    (number * (number + 1)) / 2
}","// Using a HashSet to check for element existence
fn find_element_hashset(collection: &std::collections::HashSet<i32>, search_value: i32) -> bool {
    collection.contains(&search_value)
}",0
10,"// Using a loop
fn sum_of_numbers_loop(num: u32) -> u32 {
    let mut sum_total = 0;
    for counter in 1..=num {
        sum_total += counter;
    }
    sum_total
}","// Using a HashSet to check for element existence
fn find_element_hashset(collection: &std::collections::HashSet<i32>, search_value: i32) -> bool {
    collection.contains(&search_value)
}",0
